order_id,customer_id,order_date,product_category,quantity,unit_price,status
1001,C001,2024-01-05,Electronics,2,250.00,COMPLETED
1002,C002,2024-01-05,Grocery,5,12.50,COMPLETED
1003,C001,2024-01-06,Clothing,1,45.00,CANCELLED
1004,C003,2024-01-07,Electronics,1,999.00,COMPLETED
1005,C002,2024-01-07,Grocery,3,8.00,COMPLETED
1006,C004,2024-01-08,Furniture,1,450.00,COMPLETED
1007,C001,2024-01-09,Electronics,,199.00,COMPLETED
1008,C005,2024-01-09,Grocery,2,15.00,RETURNED
1009,C003,2024-01-10,Clothing,4,20.00,COMPLETED
1010,C004,2024-01-10,Furniture,2,300.00,COMPLETED
1011,C002,2024-01-11,Electronics,1,120.00,COMPLETED
1012,C005,,Grocery,1,10.00,COMPLETED
1013,C001,2024-01-12,Furniture,1,275.00,CANCELLED
1014,C003,2024-01-13,Electronics,3,60.00,COMPLETED
1015,C004,2024-01-13,Clothing,2,35.00,COMPLETED
